"qd15nz10","Abingdon HS","New River Region"
"qc29ch63","Advanced Technology Center","Tidewater Region"
"qc85ug68","Altavista HS","Longwood Region"
"te64hq05","Amelia County HS","Longwood Region"
"bj39dc09","Annandale HS","Northern Virginia Region"
"ap46qc64","Appomattox County HS","Longwood Region"
"hd49wb28","Arcadia HS","Tidewater Region"
"yt94yk07","Armstrong HS","Capital Region"
"md75ec42","Auburn HS","Blue Ridge Region"
"dk85je21","B T Washington HS","Tidewater Region"
"rd71st91","Bassett HS","Blue Ridge Region"
"yq35ra48","Bath County HS","Blue Ridge Region"
"tg54gf03","Battlefield HS","Germanna Region"
"nx71en74","Bayside HS","Tidewater Region"
"ef47za57","Blacksburg HS","Blue Ridge Region"
"pr61yn90","Bland HS","New River Region"
"om25ic18","Bluestone HS","Longwood Region"
"tw32hr53","Brentsville District HS","Germanna Region"
"ci18tv06","Briar Woods HS","Shenandoah Region"
"oi31pt20","Broad Run HS","Shenandoah Region"
"on97rp05","Brunswick Senior HS","Longwood Region"
"wm72mn80","Bruton HS","Colonial Region"
"ka60kv81","Buckingham HS","Longwood Region"
"vj01lc70","Burton Center for Arts and Technology","Blue Ridge Region"
"yh92kz02","C D Hylton HS","Germanna Region"
"vp59nl42","Carroll County HS","New River Region"
"qy96ok09","Castlewood HS","UVA’s College at Wise Region"
"hb65lc59","Central HS (Norton)","UVA’s College at Wise Region"
"jq98qh65","Centreville HS","Northern Virginia Region"
"xf40iz78","Chancellor HS","Germanna Region"
"vo18gu86","Chantilly HS","Northern Virginia Region"
"hs76nx35","Charles Colgan Sr HS","Germanna Region"
"at17fo71","Chesterfield TC","Tri-Cities Region"
"ro35tn53","Christiansburg HS","Blue Ridge Region"
"lw08gf72","Colonial Forge HS","Germanna Region"
"cd71ot31","Colonial Heights HS","Tri-Cities Region"
"zd01th23","Council HS","UVA’s College at Wise Region"
"eb29ka28","Dan River HS","Longwood Region"
"my97kt73","Deep Creek HS","Tidewater Region"
"ui05hf58","Dinwiddie Senior HS","Tri-Cities Region"
"dp34oc57","Douglas S Freeman HS","Capital Region"
"qa50xe14","Eastside HS","UVA’s College at Wise Region"
"wj58tl71","Edison HS","Northern Virginia Region"
"yq98cp18","Fairfax HS","Northern Virginia Region"
"ns59ib83","Falls Church HS","Northern Virginia Region"
"zd74xq71","Fauquier HS","Germanna Region"
"el31sz35","First Colonial HS","Tidewater Region"
"qa41vz71","Floyd County HS","Blue Ridge Region"
"qd16od49","Floyd E Kellam HS","Tidewater Region"
"id59lj53","Fluvanna County HS","Capital Region"
"cw42mc58","Forest Park HS","Germanna Region"
"ec40xv38","Fort Chiswell HS","New River Region"
"vq64ha73","Fort Defiance HS","Shenandoah Region"
"zi19xz26","Frank Cox HS","Tidewater Region"
"wc60ly32","Franklin County HS","Blue Ridge Region"
"cj24le62","Franklin HS","Tidewater Region"
"km39qn40","Freedom HS (South Riding)","Shenandoah Region"
"az96nk68","Freedom HS (Woodbridge)","Germanna Region"
"nx41np36","Galax HS","New River Region"
"tq51ue43","George C Marshall HS","Northern Virginia Region"
"nt97ny91","George Wythe HS (Richmond)","Capital Region"
"zm95fp79","George Wythe HS (Wytheville)","New River Region"
"vk85ba46","Giles HS","New River Region"
"uk56qu10","Glen Allen HS","Capital Region"
"qs83ug64","Glenvar HS","Blue Ridge Region"
"qf41tr76","Gloucester HS","Colonial Region"
"ul14ig03","Grafton HS","Colonial Region"
"aj10dm83","Graham HS","New River Region"
"yt58ah98","Granby HS","Tidewater Region"
"ju98zr62","Grayson County CATE Center","New River Region"
"ao08rq80","Great Bridge HS","Tidewater Region"
"pg95da90","Gretna HS","Longwood Region"
"ib10sd23","Grundy HS","UVA’s College at Wise Region"
"yl68fh31","Hayfield Secondary","Northern Virginia Region"
"fr63ft83","Heritage HS (Leesburg)","Shenandoah Region"
"jl76lx12","Heritage HS (Newport News)","Colonial Region"
"ua67rc64","Hermitage HS","Capital Region"
"vp37jr09","Hermitage TC","Capital Region"
"rq81vp15","Herndon HS","Northern Virginia Region"
"os54wb45","Highland HS","Germanna Region"
"ym92ag43","Highland Springs HS","Capital Region"
"lj90uf87","Holston HS","New River Region"
"vm32fj31","Honaker HS","UVA’s College at Wise Region"
"vd13pu63","Hopewell HS","Tri-Cities Region"
"ax94zc62","Huguenot HS","Capital Region"
"nz30uv20","Hurley HS","UVA’s College at Wise Region"
"mj64nj49","Indian River HS","Tidewater Region"
"gp18cy35","James Madison HS","Northern Virginia Region"
"xd82zh10","James Monroe HS","Germanna Region"
"wr54ez91","James River HS","Tri-Cities Region"
"zo68bl75","James W Robinson Jr Secondary","Northern Virginia Region"
"vn43fw63","James Wood HS","Shenandoah Region"
"qy93kw76","Jamestown HS","Colonial Region"
"yq54ev50","John Handley HS","Shenandoah Region"
"bz76hw19","John Marshall HS","Capital Region"
"kt72dv82","John S Battle HS","New River Region"
"vs81ue43","Kecoughtan HS","Colonial Region"
"bw13tg64","Kempsville HS","Tidewater Region"
"zn04xh79","Kettle Run HS","Germanna Region"
"aj87tb30","King's Fork HS","Tidewater Region"
"mq14by31","Lafayette HS","Colonial Region"
"yh91cd35","Lake Braddock Secondary School","Northern Virginia Region"
"qu46kz92","Landstown HS","Tidewater Region"
"wl40kt46","Lebanon HS","UVA’s College at Wise Region"
"ec61yn49","Lee County Vocational Technical Center","UVA’s College at Wise Region"
"bi38zm52","Liberty HS (Bealeton)","Germanna Region"
"rn38tb31","Loudoun County HS","Shenandoah Region"
"xn36ah89","Magna Vista HS","Blue Ridge Region"
"eq14tk60","Manassas Park HS","Germanna Region"
"vk86wq02","Marion Senior HS","New River Region"
"lq27mf96","Martinsville HS","Blue Ridge Region"
"ps45cw46","Massaponax HS","Germanna Region"
"wx52uy72","Menchville HS","Colonial Region"
"cj80gs10","Middlesex HS","Capital Region"
"to31ob43","Midlothian HS","Tri-Cities Region"
"tn02bw21","Millbrook HS","Shenandoah Region"
"jr01yz50","Mills E Godwin HS","Capital Region"
"xi49im59","Mount Vernon HS","Northern Virginia Region"
"ko81wd97","Nandua HS","Tidewater Region"
"ha37xp95","Nansemond River HS","Tidewater Region"
"tj34uz69","Narrows HS","New River Region"
"ol69st18","New Kent HS","Capital Region"
"sk60ed31","Norfolk Christian HS","Tidewater Region"
"iv06qv52","Norfolk Technical Vocational Center","Tidewater Region"
"bv31ta49","North Stafford HS","Germanna Region"
"qu81xg85","Northwood HS","New River Region"
"dk82qa01","Nottoway HS","Longwood Region"
"wi73yq53","Oakton HS","Northern Virginia Region"
"vw78iu26","Osbourn HS","Germanna Region"
"qs26tq91","Page County HS","Shenandoah Region"
"to65sx08","Parkview HS (South Hills)","Longwood Region"
"pg74yz76","Patrick Henry HS (Roanoke)","Blue Ridge Region"
"en46zj54","Patriot HS","Germanna Region"
"rk92sf90","Potomac HS","Germanna Region"
"ei76kp40","Powhatan HS","Longwood Region"
"pd90tj15","Prince Edward County HS","Longwood Region"
"vw54qz25","Prince George HS","Tri-Cities Region"
"it79nm90","Princess Anne HS","Tidewater Region"
"pd61ui73","Randolph-Henry HS","Longwood Region"
"fg70rd29","Richlands HS","New River Region"
"ph53fv58","Richmond Community HS","Capital Region"
"yo75eg16","Ridgeview HS","UVA’s College at Wise Region"
"ht21qe20","Riverbend HS","Germanna Region"
"ch41mt47","Riverside HS","Shenandoah Region"
"xf18bi39","Robert E Lee HS (Springfield)","Northern Virginia Region"
"dw12bd26","Robert E Lee HS (Staunton)","Shenandoah Region"
"ks80uz19","Rock Ridge HS","Shenandoah Region"
"lb89wo25","Rockbridge County HS","Longwood Region"
"uc06gz92","Rural Retreat HS","New River Region"
"ls48pw24","Salem HS (Salem)","Blue Ridge Region"
"qu21mo86","Sherando HS","Shenandoah Region"
"fr82zn80","Skyline HS","Shenandoah Region"
"td31hd03","South County Secondary","Northern Virginia Region"
"lz43qs37","South Lakes HS","Northern Virginia Region"
"cm61pt54","Southampton HS","Colonial Region"
"pk59on13","Spotswood HS","Shenandoah Region"
"jn84de23","Spotsylvania HS","Germanna Region"
"mg57sd79","Stonewall Jackson HS (Manassas)","Germanna Region"
"ct35wl25","Surry County HS","Tri-Cities Region"
"al03lw63","T C Williams HS","Northern Virginia Region"
"db98ms98","Tabb HS","Colonial Region"
"ex48gd34","Tallwood HS","Tidewater Region"
"er29fb01","Tazewell HS","New River Region"
"fa74ti20","Thomas Jefferson HS","Capital Region"
"mu31pj92","Thomas Walker HS","UVA’s College at Wise Region"
"mx63gf15","Tunstall HS","Longwood Region"
"lt83ux21","Turner Ashby HS","Shenandoah Region"
"jl39vj27","Twin Valley HS","UVA’s College at Wise Region"
"zj61fd80","Union HS","UVA’s College at Wise Region"
"fv20tg23","Virginia Beach Technical and Career Education Center","Tidewater Region"
"vy31vk83","Virginia HS","UVA’s College at Wise Region"
"xz53bv23","W T Woodson HS","Northern Virginia Region"
"uz54fc85","Warwick HS","Colonial Region"
"hv53on41","West Point HS","Capital Region"
"wp85zp09","Western Branch HS","Tidewater Region"
"vo52jx52","Westfield HS","Northern Virginia Region"
"op50vo54","William Fleming HS","Blue Ridge Region"
"xe68sb53","William Monroe HS","Shenandoah Region"
"we74ju01","York HS","Colonial Region"
"bp79dc72","Yorktown Senior HS (Arlington)","Northern Virginia Region"
